state,year,crime_group,crime_subgroup,cases_stolen,value_stolen,cases_recovered,value_recovered,source_dataset
Andaman & Nicobar Islands,2001,Burglary - Property,3. Burglary,64,1321961,27,755858,property_stolen_and_recovered
Andhra Pradesh,2001,Burglary - Property,3. Burglary,7134,147019348,3321,51483437,property_stolen_and_recovered
Arunachal Pradesh,2001,Burglary - Property,3. Burglary,248,4931904,66,825115,property_stolen_and_recovered
Assam,2001,Burglary - Property,3. Burglary,2423,21466955,539,3722850,property_stolen_and_recovered
Bihar,2001,Burglary - Property,3. Burglary,3231,17023937,367,2327135,property_stolen_and_recovered
Chandigarh,2001,Burglary - Property,3. Burglary,364,10217378,119,1804823,property_stolen_and_recovered
Chhattisgarh,2001,Burglary - Property,3. Burglary,4144,30457033,1169,6518261,property_stolen_and_recovered
Dadra & Nagar Haveli,2001,Burglary - Property,3. Burglary,34,1333389,10,247140,property_stolen_and_recovered
Daman & Diu,2001,Burglary - Property,3. Burglary,43,2084845,7,479300,property_stolen_and_recovered
Delhi,2001,Burglary - Property,3. Burglary,3029,150033824,642,39632177,property_stolen_and_recovered
Goa,2001,Burglary - Property,3. Burglary,347,9991574,65,895875,property_stolen_and_recovered
Gujarat,2001,Burglary - Property,3. Burglary,4928,141650158,1124,20821285,property_stolen_and_recovered
Haryana,2001,Burglary - Property,3. Burglary,3098,64576543,1257,27369980,property_stolen_and_recovered
Himachal Pradesh,2001,Burglary - Property,3. Burglary,812,17092490,93,2936881,property_stolen_and_recovered
Jammu & Kashmir,2001,Burglary - Property,3. Burglary,1345,27222163,161,2905184,property_stolen_and_recovered
Jharkhand,2001,Burglary - Property,3. Burglary,1150,9552273,186,757019,property_stolen_and_recovered
Karnataka,2001,Burglary - Property,3. Burglary,6394,139393376,1768,42221208,property_stolen_and_recovered
Kerala,2001,Burglary - Property,3. Burglary,4185,131614945,815,21414046,property_stolen_and_recovered
Lakshadweep,2001,Burglary - Property,3. Burglary,1,12000,0,0,property_stolen_and_recovered
Madhya Pradesh,2001,Burglary - Property,3. Burglary,13549,118549565,3526,31332930,property_stolen_and_recovered
Maharashtra,2001,Burglary - Property,3. Burglary,13881,444283747,3595,62519296,property_stolen_and_recovered
Manipur,2001,Burglary - Property,3. Burglary,75,2658341,3,58311,property_stolen_and_recovered
Meghalaya,2001,Burglary - Property,3. Burglary,170,1354414,50,324600,property_stolen_and_recovered
Mizoram,2001,Burglary - Property,3. Burglary,417,3249203,188,1595997,property_stolen_and_recovered
Nagaland,2001,Burglary - Property,3. Burglary,84,6922133,21,1413954,property_stolen_and_recovered
Odisha,2001,Burglary - Property,3. Burglary,3061,46361453,1388,8474685,property_stolen_and_recovered
Puducherry,2001,Burglary - Property,3. Burglary,111,2857023,34,549650,property_stolen_and_recovered
Punjab,2001,Burglary - Property,3. Burglary,1902,73809455,721,14056644,property_stolen_and_recovered
Rajasthan,2001,Burglary - Property,3. Burglary,6867,117399424,1926,35754908,property_stolen_and_recovered
Sikkim,2001,Burglary - Property,3. Burglary,71,861706,16,217600,property_stolen_and_recovered
Tamil Nadu,2001,Burglary - Property,3. Burglary,5919,124908287,3227,51446376,property_stolen_and_recovered
Tripura,2001,Burglary - Property,3. Burglary,198,3156795,42,358200,property_stolen_and_recovered
Uttar Pradesh,2001,Burglary - Property,3. Burglary,6953,664903989,1081,542439850,property_stolen_and_recovered
