state,year,crime_group,crime_subgroup,auto_theft_coordinated_traced,auto_theft_recovered,auto_theft_stolen,source_dataset
Andaman & Nicobar Islands,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,4.0,4,auto_theft
Andhra Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,136.0,1311.0,2725,auto_theft
Arunachal Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,21.0,27,auto_theft
Assam,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,94.0,205,auto_theft
Bihar,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,44.0,205.0,946,auto_theft
Chandigarh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,107.0,281,auto_theft
Chhattisgarh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,338.0,790,auto_theft
Dadra & Nagar Haveli,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,4.0,12,auto_theft
Delhi,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,62.0,688.0,3185,auto_theft
Goa,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,9.0,68.0,152,auto_theft
Gujarat,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,401.0,1345.0,4830,auto_theft
Haryana,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,34.0,882.0,1967,auto_theft
Himachal Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,31.0,47,auto_theft
Jammu & Kashmir,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,81.0,460,auto_theft
Jharkhand,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,10.0,38.0,211,auto_theft
Karnataka,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,183.0,993.0,3087,auto_theft
Kerala,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,47.0,300.0,1038,auto_theft
Madhya Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1063.0,3756,auto_theft
Maharashtra,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,653.0,1968.0,6244,auto_theft
Manipur,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,5.0,57,auto_theft
Meghalaya,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,5.0,22,auto_theft
Mizoram,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2.0,11.0,11,auto_theft
Nagaland,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,15.0,53,auto_theft
Odisha,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,22.0,222.0,778,auto_theft
Puducherry,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,136.0,136.0,281,auto_theft
Punjab,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,123.0,229.0,609,auto_theft
Rajasthan,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,58.0,628.0,3273,auto_theft
Sikkim,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2.0,2.0,2,auto_theft
Tamil Nadu,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,2523.0,3858,auto_theft
Tripura,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,3.0,10,auto_theft
Uttar Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,15.0,727.0,4046,auto_theft
Uttarakhand,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,60.0,236,auto_theft
West Bengal,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,14.0,461.0,1904,auto_theft
Andaman & Nicobar Islands,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,1.0,2,auto_theft
Andhra Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,12.0,1420.0,3025,auto_theft
Arunachal Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,19.0,49,auto_theft
Assam,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,115.0,485,auto_theft
Bihar,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,13.0,197.0,996,auto_theft
Chandigarh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,126.0,328,auto_theft
Chhattisgarh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,244.0,752,auto_theft
Dadra & Nagar Haveli,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,19.0,31,auto_theft
Daman & Diu,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,16.0,32,auto_theft
Delhi,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,111.0,665.0,3291,auto_theft
Goa,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,32.0,138,auto_theft
Gujarat,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,254.0,1325.0,5318,auto_theft
Haryana,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,881.0,1920,auto_theft
Himachal Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4.0,39.0,63,auto_theft
Jammu & Kashmir,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3.0,94.0,270,auto_theft
Jharkhand,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4.0,57.0,597,auto_theft
