state,year,crime_group,crime_subgroup,loss_property_1_10_crores,loss_property_10_25_crores,loss_property_25_50_crores,loss_property_50_100_crores,loss_property_above_100_crores,source_dataset
Andhra Pradesh,2001,Serious Fraud - Cheating,2. Cheating,4.0,0.0,0.0,0.0,0.0,serious_fraud
Arunachal Pradesh,2001,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Assam,2001,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Bihar,2001,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Chandigarh,2001,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Chhattisgarh,2001,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Delhi,2001,Serious Fraud - Cheating,2. Cheating,2.0,,,,,serious_fraud
Goa,2001,Serious Fraud - Cheating,2. Cheating,2.0,,,,,serious_fraud
Gujarat,2001,Serious Fraud - Cheating,2. Cheating,14.0,0.0,1.0,1.0,0.0,serious_fraud
Haryana,2001,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Himachal Pradesh,2001,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Jammu & Kashmir,2001,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Jharkhand,2001,Serious Fraud - Cheating,2. Cheating,0.0,0.0,2.0,0.0,0.0,serious_fraud
Karnataka,2001,Serious Fraud - Cheating,2. Cheating,52.0,0.0,0.0,0.0,0.0,serious_fraud
Maharashtra,2001,Serious Fraud - Cheating,2. Cheating,8.0,1.0,0.0,0.0,0.0,serious_fraud
Meghalaya,2001,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Nagaland,2001,Serious Fraud - Cheating,2. Cheating,7.0,0.0,0.0,0.0,0.0,serious_fraud
Odisha,2001,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Punjab,2001,Serious Fraud - Cheating,2. Cheating,2150.0,,,,,serious_fraud
Tamil Nadu,2001,Serious Fraud - Cheating,2. Cheating,5.0,,,,,serious_fraud
West Bengal,2001,Serious Fraud - Cheating,2. Cheating,2.0,2.0,0.0,0.0,0.0,serious_fraud
Andhra Pradesh,2002,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Bihar,2002,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Chandigarh,2002,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Chhattisgarh,2002,Serious Fraud - Cheating,2. Cheating,16.0,0.0,0.0,0.0,0.0,serious_fraud
Daman & Diu,2002,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Goa,2002,Serious Fraud - Cheating,2. Cheating,1.0,,,,,serious_fraud
Gujarat,2002,Serious Fraud - Cheating,2. Cheating,10.0,1.0,0.0,1.0,1.0,serious_fraud
Haryana,2002,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Himachal Pradesh,2002,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Jammu & Kashmir,2002,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Karnataka,2002,Serious Fraud - Cheating,2. Cheating,4.0,0.0,0.0,0.0,0.0,serious_fraud
Madhya Pradesh,2002,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Maharashtra,2002,Serious Fraud - Cheating,2. Cheating,30.0,7.0,2.0,0.0,0.0,serious_fraud
Meghalaya,2002,Serious Fraud - Cheating,2. Cheating,0.0,0.0,0.0,0.0,0.0,serious_fraud
Nagaland,2002,Serious Fraud - Cheating,2. Cheating,3.0,0.0,0.0,0.0,0.0,serious_fraud
